Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Album Cover URL
Formula,Euphoria (Original Score from the HBO Series),Labrinth,10-04-2019,USQX91902497,4034,21.2,836491531,114619,24572791,79,95215206,1310860,194090,197169982,1679330230,1517468,27,155,303,22,210733,,2182680,5310,,1759253,,0,https://i.scdn.co/image/ab67616d0000b27389c39ba1acdf33ed7acd3867
Stir Fry,Stir Fry,Migos,12/20/2017,USUM71714081,4033,21.2,680431508,107585,23414054,68,179781280,1878811,240088,30175086,249432966,11047590,111,36342,84,19,157694,32,153122082,129770,,2298173,,1,https://i.scdn.co/image/ab67616d0000b2739c188c494d8bfaf895411890
River,Endless Summer Vacation,Miley Cyrus,03-10-2023,USSM12209783,4032,21.2,132653623,15227,7111182,59,51695313,709774,23486,6323191,65838521,88141082,40,71387,634,31,907532,33,7371225,1092,,434881,,0,https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5
Do It Like That,Do It Like That,TOMORROW X TOGETHER,07-07-2023,USA2P2330060,4031,21.2,102643968,11419,7392399,59,64931319,1474575,56783,80668110,432572281,48550765,7,22946,360,11,490225,5,1097475,419,,288636,,0,https://i.scdn.co/image/ab67616d0000b2732e01544530dbd825e0219965
Seven Nation Army,Elephant,The White Stripes,01-01-2003,USVT10300001,4030,21.2,1657866786,206953,64036444,81,339571990,4052894,263920,137323740,1394903550,5268188,275,184079,124,86,972676,110,912422054,566339,,10108433,,0,https://i.scdn.co/image/ab67616d0000b2732963187314262831fa2baa49
Que Va,Que Va,Alex Sensation,08-04-2017,USUM71703862,4029,21.2,398779586,38061,11538458,59,784193659,2659427,38259,2010076,22158832,106087278,18,7551,,20,84828,17,142563626,18047,,2086078,,0,https://i.scdn.co/image/ab67616d0000b273316b74cb67aa730988ad5cab
Where Have You Been,Talk That Talk (Explicit),Rihanna,01-01-2011,USUM71118074,4028,21.2,699439249,120535,37264448,69,821028883,4207574,136733,70619201,824607003,149123113,72,52842,113,36,432542,19,454577540,218323,,7929856,,0,https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46
Ashes,Ashes,Stellar,05-03-2020,QZDA52012875,4027,21.2,286057865,73783,7257676,67,182898963,2201213,807105,359078764,2702536885,30628251,22,195,,3,13970,,9382744,14536,,1148477,,1,https://i.scdn.co/image/ab67616d0000b2730db4898026f2f0d478abf0e7
sonnenbank.mp3,sonnenbank.mp3,YAKARY,11/24/2023,DGA0L2397076,4026,21.2,61127558,16750,2767597,,6762701,61532,,860217,10188593,87127057,5,5807,,3,6181211,1,,,,107992,,1,https://i.scdn.co/image/ab67616d0000b2738b80442d2c6736a5a6ad3cdb
You're Somebody Else,Nothing Lasts Forever (And It's Fine),flora cash,4/21/2017,SEXCG1700102,4025,21.2,473059298,108732,25587455,62,302782709,3261634,402646,123479947,793624604,21754797,39,50039,59,24,142965,22,71313267,29455,9351732,4844008,,0,https://i.scdn.co/image/ab67616d0000b273c13769cf3b834a466778a9c5
AHHH HA,AHHH HA,Lil Durk,2/22/2022,USQX92200794,4024,21.2,104411097,51535,9471098,54,128163786,1321268,25400,7039088,64467510,262437541,19,6187,320,6,20046,3,14136317,5643,,382012,,1,https://i.scdn.co/image/ab67616d0000b273b56e0c58820752dba67dc1fd
Por las Noches (Remix),Por las Noches (Remix) - Single,Peso Pluma,2/27/2023,USQX92301266,4023,21.3,129370457,14028,4216550,62,137242871,910371,8604,9221690,100106095,94322,8,851,,6,40004,7,4613918,1202,,350394,,0,https://i.scdn.co/image/ab67616d0000b273e15a25559babbcd599af07d9
I Get The Bag (feat. Migos),I Get The Bag (feat. Migos),Gucci Mane,8/17/2017,USAT21703179,4022,21.3,554022596,98431,18605080,64,609183858,2885179,327203,22473072,178883578,173371269,8,12752,23,,,18,,,,,,1,https://i.scdn.co/image/ab67616d0000b273af7525e55333b110ff0f4e95
Hate You,GOLDEN,Jung Kook,11-03-2023,USA2P2348394,4021,21.3,104618147,5815,3269253,,49859367,2196731,88400,4620477,21112856,396885729,1,124,5,1,337935,1,639507,411,,120750,,0,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316
Banco do Carona,Banco do Carona,Mc Don Juan,4/14/2023,BRWMB2300660,4019,21.3,71078859,9468,8189292,60,152076565,714710,5397,1222669,14276253,11338650,3,,,18,271037,2,,,,138592,,0,https://i.scdn.co/image/ab67616d0000b2736eb51112e2a1f9d520e83344
thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,4/19/2024,USUG12402546,4018,21.3,65809859,1728,11038428,,6877351,113555,,,,,5,147,,1,110574,19,1318153,2436,,20504,,1,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa
Colors,Colors,Black Pumas,4/16/2019,USATO1900023,4014,21.3,215492373,91317,9796420,67,291742629,2585653,5685,2212496,64559724,10472176,36,48571,231,16,251559,13,18305762,19517,931340,2951859,,0,https://i.scdn.co/image/ab67616d0000b273b78008fa0713ff7e5445566b
House Of Lies,House Of Lies,Ikka,5/24/2024,INS182401441,4013,21.3,5200791,137,2965343,42,10354894,189908,,,,19904542,9,9,,,,6,,,,3744,,0,https://i.scdn.co/image/ab67616d0000b273c13b0d50b49088819667578a
Patadas de Ahogado / LATIN MAFIA - Rework,Patadas de Ahogado / LATIN MAFIA (Rework),HUGEL,03-01-2024,MXF012400211,4012,21.3,30377279,7417,41642055,,454550,7485,,,,3117914,20,140,3,37,400425,17,6058,80,35719,722006,,0,https://i.scdn.co/image/ab67616d0000b273c8101cc61a1a16540f1f7528
What's My Name?,Loud (Japan Version),Rihanna,01-01-2010,USUM71025031,4011,21.3,520418822,88906,32859163,69,1049777851,3714062,,17915,32366,523654611,76,100498,136,13,201267,21,462429753,370269,,3970903,,0,https://i.scdn.co/image/ab67616d0000b27331548865f7c729290b96c794
Lifetime,Lifetime,Tobiahs,01-12-2024,AULI02355900,4010,21.3,33401958,9093,38460085,,2070128,36023,,,,474165,18,3829,111,15,410514,8,114171,65,1704088,292069,,0,https://i.scdn.co/image/ab67616d0000b273f825c5f3a2a0d8857636328d
TABU.,TABU.,Yung Yury,3/17/2023,QZES82389788,4009,21.3,110533607,40021,4746927,63,7522346,53344,32406,5368267,54432181,,12,8656,,4,8084,2,,,,269055,,0,https://i.scdn.co/image/ab67616d0000b273b4e1230a1eb7173fb5c45ee4
all the good girls go to hell,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,USUM71900766,4008,21.3,640099263,74072,22449798,68,342695701,7870079,80736,22722423,204727914,21756608,40,22495,87,19,231931,13,44739129,59135,,1434669,,0,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce
Numero Uno,Numero Uno,Dan-E-MC,6/15/2022,ITC152220010,4007,21.3,1224,3,695,,389845206,2639618,,,,1641197,,3,,,,,,,,,,0,https://i.scdn.co/image/ab67616d0000b27318bb02984d3b151fb17bec05
Toxic,Toxic,YG,08-12-2022,USUM72215025,4006,21.3,36861625,18739,2015690,48,45862527,493206,79369,18282687,146110913,924079774,7,131332,626,7,25236,4,28403185,9070,,1083165,,1,https://i.scdn.co/image/ab67616d0000b273914677a4057e98b10548a29f
Joro,Joro,Wizkid,9/30/2019,USRC11901068,4005,21.3,117819788,59052,4339220,59,312077132,1773615,822706,192976549,1866473503,26870032,59,5324,1,27,155965,5,4356329,3033,5341193,3178427,,0,https://i.scdn.co/image/ab67616d0000b27385adb4ee5878b60cbb592f6d
"Hua Main (From ""ANIMAL"")","Hua Main (From ""ANIMAL"")",Raghav Chaitanya,10-11-2023,INS182302918,4004,21.3,97393603,4072,7100504,,89293152,804501,,,,156370261,11,,,,,8,,,,80167,,0,https://i.scdn.co/image/ab67616d0000b273ac2f40efa7f20f169acfb46f
Father Stretch My Hands Pt. 1,The Life Of Pablo,Kanye West,04-01-2016,USUM71603067,4003,21.3,1102322992,191719,29522697,79,98389487,1056464,35675,34872507,243179588,18942,88,853,60,17,200329,25,105323044,60013,,3413462,,1,https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4
Stop Breathing,Whole Lotta Red,Playboi Carti,12/25/2020,USUM72024691,4002,21.3,178750521,76739,7135729,66,33772398,478840,13400,13371649,88268263,65457710,7,32,,3,1625,,392907,2314,20197624,337335,,1,https://i.scdn.co/image/ab67616d0000b27398ea0e689c91f8fea726d9bb
DISCOTEKA (feat. Locura Mix),DISCOTEKA (feat. Locura Mix),The La Planta,2/16/2023,BK4DA2301022,4001,21.3,89073254,15308,4179773,60,142372911,435060,81000,5183143,64861163,,,965,,,,4,223,,,93551,,0,https://i.scdn.co/image/ab67616d0000b2731a7bb8be207443fffbd47d5a
Flowers,Flowers,Lauren Spencer Smith,4/14/2022,USUG12202201,4000,21.3,260183209,36176,9276256,65,64169463,486007,106827,32754226,295540554,2547376419,31,15877,62,12,298664,15,12043516,18797,5221070,626257,,1,https://i.scdn.co/image/ab67616d0000b273270a1c7644ec5a23c7d05272
Spell,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',SEVENTEEN,4/29/2024,USA2P2415977,3998,21.3,9866591,621,1236012,,16856738,641553,,,,5822984,,14,,1,5134,,32264,31,22297,20583,,0,https://i.scdn.co/image/ab67616d0000b2736c498180e56f57e7d7bcdb86
Terre Pyaar Mein,Terre Pyaar Mein,Himesh Reshammiya,8/20/2021,USA2P2128140,3997,21.3,7762464,955,135906,40,504812090,3667632,40000,1722043,36027436,,,52,,,,,9308,,,113112,,0,https://i.scdn.co/image/ab67616d0000b273d92706771135cf45c8581a23
So Fine,So Fine,Realest Cram,07-08-2023,DGA052326707,3996,21.3,52265945,3957,3289713,62,39586218,99471,719700,19158587,160140881,,,,,,,,,,,9518,,1,https://i.scdn.co/image/ab67616d0000b273b7353a5bb49b08bd67d9499b
My Universe,My Universe - Single,Coldplay,9/24/2021,GBAYE2100910,3994,21.3,,,,,108142,917,,,,,133,437950,,,,,,,,5413560,,0,https://i.scdn.co/image/ab67616d0000b273f60a9b7e2abafc38da31f575
Solid (feat. Drake),Slime Language 2,Young Stoner Life,4/16/2021,QMCE32100237,3992,21.3,277393068,103470,22919370,61,932111,15329,833,622471,6843990,,73,4738,,15,63439,8,35674166,4422,,772897,,1,https://i.scdn.co/image/ab67616d0000b2737939ff11c32b23060cc22bb5
Me Gusta,Me Gusta,Shakira,1/13/2020,USQX92000112,3991,21.4,353815769,49237,19452357,61,392297415,3298273,83800,9584342,108385612,13253315,95,50623,10,41,325193,42,14773195,4072,,2962296,,0,https://i.scdn.co/image/ab67616d0000b273e71aaa885c4df5f0a92eab12
Bring It on Home to Me,Soul Essentials : Chill With the Legendary Voices of Soul Music,Sam Cooke,3/28/2024,FR6F32334310,3990,21.4,293683495,2,12,,,,,,,,,,,,,,,,,,,0,https://i.scdn.co/image/ab67616d0000b273efe9054001b265d7252f9b97
Macarena (Bayside Boys Remix) (Remasterizado),Viva el Verano (Remasterizado 2022),Los Del Rio,6/17/2022,ES5022201032,3989,21.4,,,,,,,,,,,,,,,,,15187618,395261,,,,0,https://i.scdn.co/image/ab67616d0000b273bc569a2f5ceedcaf675fd2e3
Entrapreneur,Entrapreneur,Central Cee,12/21/2023,USSM12309238,3987,21.4,27850857,13873,8249759,,13933188,336872,,,,235522928,10,3421,711,18,237640,12,983003,74,,84148,,1,https://i.scdn.co/image/ab67616d0000b27307df81dcf193b7f4b41e8409
Jennifer's Body,A Great Chaos,Ken Carson,10/13/2023,USUM72314188,3986,21.4,53163000,24166,3988753,,,,1636,645737,5105135,,1,31,219,3,417707,2,206234,758,,65875,,1,https://i.scdn.co/image/ab67616d0000b273bc2fbaa359030887a9a60d7e
MONEY AND VIBES,MONEY AND VIBES,Nemzzz,10/19/2023,US38Y2305407,3985,21.4,35900099,17596,1306168,,3551154,60217,43374,5449953,45531637,,5,782,,2,55922,3,,,1877628,93958,,1,https://i.scdn.co/image/ab67616d0000b27328b4eaa6b95cb08edc6a979f
Smile (with The Weeknd),Legends Never Die,Juice WRLD,07-10-2020,USUG12002597,3984,21.4,463970393,92879,13210421,62,130269657,1671937,5289,125617,1309847,14422648,46,10816,,16,6406,11,42898693,20772,,793274,,1,https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb
Mockingbird,Encore (Deluxe),Eminem,11-12-2004,USIR10400813,3983,21.4,1680919413,293385,44640604,82,244059770,2900004,12730,8273097,76886329,228292,79,13192,5,31,722512,15,520681974,406631,,9764188,,1,https://i.scdn.co/image/ab67616d0000b273726d48d93d02e1271774f023
Asesina,Asesina,Brytiago,05-01-2018,QM4TX1806458,3982,21.4,362670547,33711,5993578,62,712253277,3550138,19671,1657667,17887810,30023085,11,1338,,9,17915,29,144936900,26295,,,,1,https://i.scdn.co/image/ab67616d0000b27318b40c232440426da343c271
Different 'Round Here,Different 'Round Here,Riley Green,05-11-2023,QZRD92302492,3980,21.4,74806048,9014,9899290,60,,,5369,1117305,11672926,,14,141886,,7,1677801,9,1176095,188,,157134,,0,https://i.scdn.co/image/ab67616d0000b273d7f331bf32ffeb3feb09a18e
Ropa Cara,Ropa Cara,Camilo,1/18/2021,USSD12000609,3979,21.4,185362995,19981,3838967,50,315331221,3732558,1115600,148110661,1309968091,33382623,43,11813,203,9,83927,17,3615841,5623,,421946,,0,https://i.scdn.co/image/ab67616d0000b273f7884ae3a1a00f73dd0e9fff
Here We Go (Uh Oh),Here We Go (Uh Oh),Coco Jones,05-03-2024,USUM72404366,3978,21.4,3459469,675,18922968,,30547,846,,,,,18,8785,,3,208991,29,3989935,392,186653,133763,,0,https://i.scdn.co/image/ab67616d0000b273d80c2ad7e0216b1d1e5a4ceb
bread & butter,bread & butter - Single,Gunna,06-02-2023,USAT22305917,3977,21.4,50098085,29986,3865630,54,30556463,330529,6120,815019,9089105,61703814,40,1160,,2,5937,,4935955,1789,,280974,,1,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c
Jumpshot,Sunday,Dawin,7/29/2016,USUM71606698,3976,21.4,71345247,8334,1543930,45,92840225,813836,8797888,51952711,274234939,7,2,264,,1,2924,,1814245,,,926395,,0,https://i.scdn.co/image/ab67616d0000b2730cdc8581ee1479ae9204a082
Middle,Middle,DJ Snake,10/16/2015,USUM71515784,3974,21.4,1068023888,136601,31036842,70,43143589,435488,993544,34574490,288028736,,193,33170,21,71,231159,9,209483734,129629,,12615013,,0,https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc
Ron Artest,Ron Artest,Babyface Ray,02-08-2023,USUYG1468508,3973,21.4,63725545,28846,5713050,65,17655608,162513,200,31919,243757,,5,42,242,,,,,,7292189,386729,,1,https://i.scdn.co/image/ab67616d0000b273422c24b8db6413bb9e549b0a
Obsessed,Obsessed,Riar Saab,9/29/2022,QMBZ92299094,3972,21.4,161366691,18781,6151558,64,167537164,1497169,133300,16562523,286891984,,22,918,,1,1097,9,,,,479047,,0,https://i.scdn.co/image/ab67616d0000b273a90a3cbabaee190af2f972bf
Espectacular,Espectacular - Single,Sky Rompiendo,4/18/2024,USSD12400197,3971,21.4,29254420,3415,44650919,,4214564,68306,,,,7608525,30,1177,42,21,184327,32,1037782,89,,124413,,0,https://i.scdn.co/image/ab67616d0000b2730acf414348b3ca9a6f538690
Yes or No,GOLDEN,Jung Kook,11-03-2023,USA2P2348392,3970,21.4,167384917,7556,4756460,,46061623,617032,,1932205,14147233,42351748,4,1653,21,2,340015,,885984,803,,172882,,0,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316
El Patito Juan,La Hormiguita Hippie,Biper Y Sus Amigos,10/24/2004,QZ2J21500186,3969,21.4,29422741,3040,672003,54,2970122390,1957811,90413,6203573,119966916,,,174,,2,480864,5,515384,14764,,199390,,0,https://i.scdn.co/image/ab67616d0000b273598df9f124d2a6e032533d41
Straightenin,Straightenin,Migos,5/14/2021,USUG12100188,3968,21.4,135665686,61959,9905843,51,158341543,1541456,22945,8690617,98085095,79102641,67,35358,2,16,139088,11,36411677,7544,,1039383,,1,https://i.scdn.co/image/ab67616d0000b273048a14936a56e696035555ba
Madrid City,Madrid City,Ana Mena,9/29/2023,ES5022302278,3966,21.4,64860954,8481,12819927,,30204546,157044,42288,52602381,462395885,93824319,53,26994,,41,11320652,27,7026,51,,885647,,0,https://i.scdn.co/image/ab67616d0000b2739c3dc8b4e881fd2607687a8b
Show Me How,Show Me How - Single,Men I Trust,2/28/2018,TCADM1873570,3965,21.4,466462034,145278,21911416,20,91890599,1551928,253094,221768120,1503260547,1051268048,25,1227,102,5,7432,4,2932987,1544,15339480,989841,,0,https://i.scdn.co/image/ab67616d0000b273deeb617204bc14f4ee87b057
Pour It Up,Unapologetic (Edited Version),Rihanna,01-01-2012,USUM71214737,3964,21.4,417616725,59548,22751107,64,498382704,2551106,2466,3960964,9984519,146752455,53,27541,40,19,201083,18,652081066,745650,,3449652,,1,https://i.scdn.co/image/ab67616d0000b2736dee21d6cd1823e4d6231d37
Bring Me To Life,Fallen,Evanescence,01-01-2003,USWU30200093,3963,21.4,1129346989,229491,68545536,79,1380253721,9926891,511462,98118550,906228976,720637057,91,230782,277,70,765734,43,,,,12505209,,0,https://i.scdn.co/image/ab67616d0000b27325f49ab23f0ec6332efef432
XXL,EL CHAVO,UZI,09-09-2022,FRX762205380,3962,21.4,70664645,13324,1760479,58,246582532,3314166,26400,4104584,69529104,,1,706,,,,,,,,84153,,1,https://i.scdn.co/image/ab67616d0000b27349fbfede365b32ce524eec19
Runaway (U & I) [Dance],"This Is MELON, Vol. 1 (Dance)",MELON,2/24/2023,ZZOPM2342242,3961,21.5,13502324,3124,10531046,42,212073431,567112,36441,6215572,136579723,,1,1,,3,167042,,5297,240,,106448,,0,https://i.scdn.co/image/ab67616d0000b273babc2f4953868ec14f621aaf
Bondade de Deus,Bondade de Deus,Isaias Saad,2/21/2022,BCII12200001,3960,21.5,91842323,15910,8695499,63,237180411,1961210,554995,6613662,149090596,508469,10,82,,56,7488178,9,,,,,,0,https://i.scdn.co/image/ab67616d0000b2736b18de1763d00b90d4eb90ad
I GUESS I'M IN LOVE,I GUESS I'M IN LOVE,Clinton Kane,8/20/2021,USSM12104467,3959,21.5,416972132,75352,37597369,63,27881902,283314,262243,132202012,1003766991,5373,37,6452,4,30,154015,15,10462787,8208,,791890,,0,https://i.scdn.co/image/ab67616d0000b2733f1ceb305415a090c0885986
Uhaw,Uhaw,Dilaw,11/18/2022,PHW012200294,3958,21.5,42862565,5084,1645697,54,9151739,70548,1712700,62906993,670266290,,3,8,,,,,,,,8995,,0,https://i.scdn.co/image/ab67616d0000b27382877ed8854250100fb4a3f1
Animals,Animals - Single,Martin Garrix,01-01-2013,NLZ541300467,3957,21.5,413855724,67911,11433179,61,62878984,569920,58190,13747633,170836810,26070341,80,8044,375,27,64976,24,164294520,462207,74446604,17865575,,1,https://i.scdn.co/image/ab67616d0000b273db20089661aff3a8070600ca
Angry,Angry,The Rolling Stones,09-06-2023,GBUM72302314,3953,21.5,31185560,10629,9924829,,31460860,421898,,,,17219087,28,43699,,17,1899063,36,3754757,2339,,439886,,0,https://i.scdn.co/image/ab67616d0000b27300379b8904a73a542198c068
DISPO,DISPO,KAROL G,08-10-2023,USUG12305267,3952,21.5,113567783,11700,10018246,68,70427226,409549,,,,,7,1330,4,2,239220,16,10704039,792,,134837,,1,https://i.scdn.co/image/ab67616d0000b2734a8c1bbd60d89887c5016245
"Akh Lad Jaave (From ""Loveyatri"")","Akh Lad Jaave (From ""Loveyatri"")",Badshah,8/23/2018,INS181801889,3950,21.5,97600091,10461,4441829,55,966173774,5203477,,2364,49191,131470144,14,681,,,,7,,,,432493,,0,https://i.scdn.co/image/ab67616d0000b273f3c5eadfb522b51aca89e2c9
IDGAF,IDGAF,Lucixn,2/13/2023,QZLBC2302548,3950,21.8,1577904955,1,23,,,,,,,,,,,,,,,,,,,1,https://i.scdn.co/image/ab67616d0000b2732abb30c6296964d5d07458c2
Versace on the Floor,24K Magic,Bruno Mars,11/17/2016,USAT21602949,3949,21.5,797648369,64011,17977153,72,733721686,4991700,200226,11637624,99524212,157272972,73,18787,2,32,689571,11,93218337,92006,,,,0,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5
Yes I'm A Mess,Yes I'm A Mess,AJR,9/29/2023,USUG12305391,3948,21.5,43940810,6918,9962020,,13505487,255255,247,525527,7067986,15730507,8,47852,371,3,3267,17,22282533,6052,,202276,,1,https://i.scdn.co/image/ab67616d0000b273696b4e67423edd64784bfbb4
SWEET / I THOUGHT YOU WANTED TO DANCE,CALL ME IF YOU GET LOST,"Tyler, The Creator",6/25/2021,USQX92102138,3947,21.5,269671235,93761,9361340,69,36399833,578718,47742,29143512,124695761,9213,10,1366,,3,12887,9,634409,3067,,551470,,1,https://i.scdn.co/image/ab67616d0000b27304a3ca0d3bf91c88f969f905
Chasing Game,Various Worldwide IV,Nick Hanzo,07-01-2022,DEH742211994,3946,21.5,,1,80,,377233092,352337,,,,2971609,,11,,,,,,,,18,,0,https://i.scdn.co/image/ab67616d0000b273f22f0b8c8c64f9a05a04a022
Jar of Hearts,jar of hearts,Christina Perri,7/27/2010,USAT21001508,3945,21.5,534874667,65494,31544782,65,562197656,3376379,39886,11224332,109689471,184101526,42,39523,98,20,25418,10,615706841,895666,,6027852,,0,https://i.scdn.co/image/ab67616d0000b27326a2f5224465a369f8abbf88
UP,UP,INNA,10/29/2021,ROGRA2101937,3944,21.5,35440292,7611,1055511,49,105583094,723839,1783882,35896632,1048666929,5222774,8,34144,,9,457320,,77119,48,,2431616,,0,https://i.scdn.co/image/ab67616d0000b2737bd254131ac1f8678448d076
LOS APARATOS,LOS APARATOS,El Alfa,08-03-2022,QM6P42213591,3943,21.5,137720938,30579,5580377,65,153725209,1337733,1167,47967,950882,3483302,12,9181,40,6,67183,1,3762219,1338,,602689,,0,https://i.scdn.co/image/ab67616d0000b2733242fdd0d5f5c1dfe49ce924
Saiyaan Ji,Saiyaan Ji,Yo Yo Honey Singh,1/27/2021,INS182100158,3942,21.5,39793463,5646,1398949,48,585353915,6571121,,,,228557696,1,1059,,,,3,,,,197659,,0,https://i.scdn.co/image/ab67616d0000b2737a4ca76abadaf4b0733c6955
Five Nights at Freddy's,Five Nights at Freddy's (Original Motion Picture Soundtrack),The Newton Brothers,10/27/2023,USQ4E2205224,3941,21.5,17822349,5850,722543,,23346903,555249,385700,76117590,591105266,,2,2,,,,,88794,1421,297246,143370,,0,https://i.scdn.co/image/ab67616d0000b273278801b5a5f0baee61a4ac29
Hasta la Miel Amarga (feat. Grupo Firme),Hasta la Miel Amarga (En Vivo),"Luis Angel ""El Flaco""",05-01-2020,QZDQH1832675,3940,21.5,164007720,14849,8963601,41,588981015,1697071,8234,1704435,18781987,15664693,1,1712,,,,8,37364914,7485,,491755,,0,https://i.scdn.co/image/ab67616d0000b27379da8134fa0fd7bf0ba91ad1
FRIKI,FRIKI,Feid,12-10-2021,USUM72123054,3939,21.5,255973824,28166,14221715,71,230466044,1013942,122297,27668937,333978136,194906618,30,13244,265,14,276606,22,24601618,1616,,429833,,0,https://i.scdn.co/image/ab67616d0000b273d044f1d1f012f30282637d81
Buss It,Buss It,Erica Banks,5/15/2020,USUYG1312999,3936,21.5,145000664,32202,13605018,53,114367853,1294275,2840314,966925936,7546931289,68697361,34,27382,144,13,13556,16,,,,1452339,,1,https://i.scdn.co/image/ab67616d0000b273477ccd59818023dc47336a48
Gotta Move On (feat. Bryson Tiller),The Love Album: Off the Grid (Extended),Diddy,9/20/2023,USUG12203038,3934,21.5,44931644,309,110085,,2181868,26263,,,,,5,117928,,,,,6020706,3426,45722,,,0,https://i.scdn.co/image/ab67616d0000b2731f7070d399499f22e0eafd00
Let The Light In (feat. Father John Misty),Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,03-10-2023,GBUM72206754,3932,21.5,240686521,33016,33841199,75,21619,626,159400,53743157,349168412,,3,2028,22,13,499463,5,912274,2652,149385,632580,,0,https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634
Sweet Child O' Mine,Appetite For Destruction,Guns N' Roses,7/21/1987,USGF18714809,3931,21.5,1879386440,295491,96032046,80,2007460784,11222080,623935,57957597,673282408,743526260,212,145671,416,215,3290536,107,885046947,444606,,10345515,,1,https://i.scdn.co/image/ab67616d0000b27321ebf49b3292c3f0f575f0f5
Can I Call You Tonight?,Can I Call You Tonight?,Dayglow,1/26/2018,TCADL1825079,3930,21.5,596164214,158639,32332004,71,207640042,2700851,71731,26297718,155192084,12234172,30,4664,125,10,121871,5,15042745,10453,,2303064,,0,https://i.scdn.co/image/ab67616d0000b2735160eaecb31b739ea1c2eaa5
Love 119,Love 119,RIIZE,01-05-2024,KRA302400001,3928,21.5,40415304,2509,8351511,59,56771181,675344,25800,664843,3801500,629039777,10,1266,13,5,158455,15,19933,62,,80350,,0,https://i.scdn.co/image/ab67616d0000b27369ad639dd6829cb2414a53f9
NINNIN JACK,DEPARTURE,IMP.,5/29/2024,JPY932300076,3927,21.5,207454,23,356969,,8963678,36984,,,,,4,63,,,,4,,,,2055,,0,https://i.scdn.co/image/ab67616d0000b2732db2b29787132cd8871984b9
Rake It Up,Rake It Up,Yo Gotti,6/23/2017,USSM11705366,3924,21.6,365789171,47875,14327367,58,347981506,2544004,24502,12009436,75103695,150027731,75,8,51,7,28364,16,336119724,272010,1720331,3844287,,1,https://i.scdn.co/image/ab67616d0000b27303c8b74945022105f48dd610
Classic,MKTO,MKTO,01-01-2012,USSM11301446,3922,21.6,1350428257,172980,88942487,78,343526777,3193437,1578717,346266800,3172500312,4576798,73,12318,489,37,99337,7,333149072,185567,,5519429,,0,https://i.scdn.co/image/ab67616d0000b2739474419f15773875a495eed3
Savage Love,The Bboy Hoppers Dance Videos,Jason Derulo,05-05-2020,ESA012082771,3921,21.6,3369,8,102,,797581325,13221137,,,,191230303,,,531,,,,,,,,,0,https://i.scdn.co/image/ab67616d0000b2733e0936633c4c927ac22818e1
Overloading (OVERDOSE),"Overdose (feat. LADIPOE, Magixx & Boy Spyce) - Single",Mavins,5/13/2022,NGA3B2201001,3920,21.6,58523865,18165,3041519,53,12161436,65390,1615764,20096339,235951162,,40,5319,,4,345978,30,1650148,193,,2217236,,0,https://i.scdn.co/image/ab67616d0000b273175ca9fe498f5c7a4ed46e79
LOOOVE (feat. Kid Cudi),UTOPIA,Travis Scott,7/28/2023,USSM12305018,3919,21.6,72380469,32141,3198359,63,2630153,52698,1049,384088,4244746,,4,19,,2,,8,228994,212,,50640,,1,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
White Iverson,White Iverson,Post Malone,6/13/2013,USUM71511528,3918,21.6,1135209969,158507,27779312,70,40791444,313792,11360,8227983,66145174,30,115,9867,36,28,122510,25,523654002,476147,,4346795,,1,https://i.scdn.co/image/ab67616d0000b2734ff87c537b7a187063affff1
Kini Ecko Pergi Meninggalkanku,Kini Ecko Pergi Meninggalkanku,Ecko Show,10-06-2022,IDA832200929,3917,21.6,3479935,487,24227,29,45732371,409950,1802891,176753219,2877575926,,,41,,,,,,,,20289,,0,https://i.scdn.co/image/ab67616d0000b273df57d94f04d2ac56a444c15e
